major,confidence,comment_count,total_likes,positive_rate,negative_rate,neutral_rate,sentiment_index,recommendation_score,employment_major,专业,本科就业率,本科月薪,学科门类,红绿牌,硕士就业率,硕士月薪,学历薪资溢价率%,学历就业率提升%,本硕薪资差,sentiment_rank,employment_rank,deviation_score,deviation_type
土木工程,0.8059908147399307,564,151614.0,72.16312056737588,14.00709219858156,13.829787234042554,58.156028368794324,3774.8936892882825,土木工程,土木工程,87.0,7000,工科,普通,92.0,9450.0,35.0,5.0,2450.0,9.0,6.0,3.0,Matched
计算机科学与技术,0.8118988952450593,538,146877.0,70.4460966542751,16.91449814126394,12.639405204460965,53.531598513011154,3540.962960850144,计算机科学与技术,计算机科学与技术,69.0,6500,工科,普通,74.0,8775.0,35.0,5.0,2275.0,12.0,12.0,0.0,Overrated
金融学,0.817296158065588,367,97722.0,81.19891008174388,8.991825613079019,9.809264305177113,72.20708446866486,2802.6956858865965,金融学,金融学,85.0,8200,经管,普通,89.0,10250.0,25.0,4.0,2050.0,1.0,7.0,6.0,Matched
临床医学,0.8169931964536684,339,111880.0,75.81120943952803,11.799410029498524,12.389380530973451,64.01179941002951,2416.193918165625,临床医学,临床医学,88.0,6800,医学,普通,96.0,11560.0,70.0,8.0,4760.0,3.0,5.0,2.0,Matched
法学,0.8289445222042836,289,51855.0,73.70242214532871,15.916955017301039,10.380622837370241,57.785467128027676,2031.8202903281056,法学,法学,68.0,6500,文法,红牌,72.00000000000001,7474.0,15.0,4.0,974.0,10.0,13.0,3.0,Overrated
新闻学,0.7956413252522117,368,54664.0,54.891304347826086,29.891304347826086,15.217391304347828,25.0,1849.4769585839674,新闻学,新闻学,65.0,5200,文法,普通,69.0,5979.0,15.0,4.0,779.0,15.0,14.0,1.0,Overrated
英语,0.8240617030748615,216,29204.0,69.9074074074074,19.444444444444446,10.648148148148149,50.46296296296296,1431.9138914189193,英语,英语,72.0,5800,外语,普通,75.0,6496.0,12.0,3.0,696.0,14.0,11.0,3.0,Overrated
机械工程,0.808442001630153,224,85947.0,68.30357142857143,16.964285714285715,14.732142857142858,51.339285714285715,1423.3788981520534,机械工程,机械工程,75.0,7200,工科,普通,80.0,9720.0,35.0,5.0,2520.0,13.0,10.0,3.0,Overrated
电子信息工程,0.8367566281840915,168,41482.0,76.78571428571429,13.690476190476192,9.523809523809524,63.0952380952381,1242.1358462111368,电子信息工程,电子信息工程,89.0,7100,工科,普通,94.0,9585.0,35.0,5.0,2485.0,4.0,3.5,0.5,Matched
电气工程,0.833349652030841,147,15284.0,76.19047619047619,14.285714285714285,9.523809523809524,61.904761904761905,1074.0524859315788,电气工程及其自动化,电气工程及其自动化,90.0,6900,工科,绿牌,95.0,9315.0,35.0,5.0,2415.0,7.0,1.5,5.5,Matched
化学类,0.8202666010889974,143,24957.0,71.32867132867133,17.482517482517483,11.188811188811188,53.846153846153854,962.7985421297783,化学,化学,79.0,6000,理学,普通,85.00000000000001,8400.0,40.0,6.0,2400.0,11.0,9.0,2.0,Overrated
自动化,0.8511319823265076,125,34680.0,78.4,16.0,5.6000000000000005,62.400000000000006,959.849646352103,自动化,自动化,90.0,7108,工科,普通,95.0,9595.0,35.0,5.0,2487.0,6.0,1.5,4.5,Matched
会计学,0.8211521935282331,132,24211.0,73.48484848484848,15.151515151515152,11.363636363636363,58.33333333333333,916.5910560671878,会计学,会计学,83.0,6800,经管,普通,87.0,8500.0,25.0,4.0,1700.0,8.0,8.0,0.0,Overrated
软件工程,0.8220877950008099,65,34260.0,76.92307692307693,12.307692307692308,10.76923076923077,64.61538461538463,473.0079372847008,软件工程,软件工程,89.0,7092,工科,普通,94.0,9574.0,35.0,5.0,2482.0,2.0,3.5,1.5,Matched
护理学,0.8446281786475863,56,17789.0,78.57142857142857,16.071428571428573,5.357142857142857,62.5,427.6598372899171,护理学,护理学,60.0,5200,医学,普通,68.0,8840.0,70.0,8.0,3640.0,5.0,15.0,10.0,Overrated
